k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
3,p0,one_minus_normalized_entropy,0.9999910237577989,0.47023809523809523,0.0,1.0,237,267
3,p0,one_minus_normalized_entropy,0.9999937688567024,0.4603174603174603,0.0,1.0,232,272
3,p0,one_minus_normalized_entropy,0.9999957424477047,0.4503968253968254,0.0,1.0,227,277
3,p0,one_minus_normalized_entropy,0.9999977927625006,0.44047619047619047,0.0,1.0,222,282
3,p0,one_minus_normalized_entropy,0.9999983187251071,0.4305555555555556,0.0,1.0,217,287
3,p0,one_minus_normalized_entropy,0.9999988229057462,0.42063492063492064,0.0,1.0,212,292
3,p0,one_minus_normalized_entropy,0.9999991395351956,0.4107142857142857,0.0,1.0,207,297
3,p0,one_minus_normalized_entropy,0.9999994612929665,0.4007936507936508,0.0,1.0,202,302
3,p0,one_minus_normalized_entropy,0.9999996560533332,0.39087301587301587,0.0,1.0,197,307
3,p0,one_minus_normalized_entropy,0.9999998357190925,0.38095238095238093,0.0,1.0,192,312
3,p0,one_minus_normalized_entropy,0.9999998836672239,0.37103174603174605,0.0,1.0,187,317
3,p0,one_minus_normalized_entropy,0.9999999122707774,0.3611111111111111,0.0,1.0,182,322
3,p0,one_minus_normalized_entropy,0.9999999385111956,0.35119047619047616,0.0,1.0,177,327
3,p0,one_minus_normalized_entropy,0.9999999596135801,0.3412698412698413,0.0,1.0,172,332
3,p0,one_minus_normalized_entropy,0.9999999688257974,0.32936507936507936,0.0,1.0,166,338
3,p0,one_minus_normalized_entropy,0.9999999803156012,0.3194444444444444,0.0,1.0,161,343
3,p0,one_minus_normalized_entropy,0.9999999927399429,0.30952380952380953,0.0,1.0,156,348
3,p0,one_minus_normalized_entropy,0.9999999936366105,0.2996031746031746,0.0,1.0,151,353
3,p0,one_minus_normalized_entropy,0.999999995718966,0.2896825396825397,0.0,1.0,146,358
3,p0,one_minus_normalized_entropy,0.9999999973868646,0.27976190476190477,0.0,1.0,141,363
3,p0,one_minus_normalized_entropy,0.9999999986061344,0.2698412698412698,0.0,1.0,136,368
3,p0,one_minus_normalized_entropy,0.9999999991988506,0.25992063492063494,0.0,1.0,131,373
3,p0,one_minus_normalized_entropy,0.9999999996887782,0.25,0.0,1.0,126,378
3,p0,one_minus_normalized_entropy,0.9999999998028445,0.2400793650793651,0.0,1.0,121,383
3,p0,one_minus_normalized_entropy,0.9999999998943564,0.23015873015873015,0.0,1.0,116,388
3,p0,one_minus_normalized_entropy,0.9999999999468346,0.22023809523809523,0.0,1.0,111,393
3,p0,one_minus_normalized_entropy,0.9999999999829768,0.21031746031746032,0.0,1.0,106,398
3,p0,one_minus_normalized_entropy,0.9999999999916495,0.2003968253968254,0.0,1.0,101,403
3,p0,one_minus_normalized_entropy,0.9999999999975497,0.19047619047619047,0.0,1.0,96,408
3,p0,one_minus_normalized_entropy,0.9999999999992184,0.18055555555555555,0.0,1.0,91,413
3,p0,one_minus_normalized_entropy,0.9999999999997369,0.17063492063492064,0.0,1.0,86,418
3,p0,one_minus_normalized_entropy,0.9999999999999647,0.16071428571428573,0.0,1.0,81,423
3,p0,one_minus_normalized_entropy,0.9999999999999934,0.15079365079365079,0.0,1.0,76,428
